2025-10-01 09:33:16 | main | INFO | 20 | This is an INFO message
2025-10-01 09:33:16 | main | DEBUG | 21 | This is a DEBUG message
2025-10-01 09:33:16 | main | WARNING | 22 | This is a WARNING message
2025-10-01 09:33:16 | main | ERROR | 23 | This is an ERROR message
2025-10-01 09:33:16 | main | CRITICAL | 24 | This is a CRITICAL message
2025-10-01 09:33:16 | helper | DEBUG | 7 | This is a DEBUG message
2025-10-01 09:33:16 | helper | INFO | 8 | This is an INFO message
2025-10-01 09:33:16 | helper | WARNING | 9 | This is a WARNING message
2025-10-01 09:33:16 | helper | ERROR | 10 | This is an ERROR message
2025-10-01 09:33:16 | helper | CRITICAL | 11 | This is a CRITICAL message
2025-10-01 09:33:16 | helper | INFO | 12 | Helper function running
