2025-10-01 09:18:32 | main | INFO | 20 | This is an INFO message
2025-10-01 09:18:32 | main | DEBUG | 21 | This is a DEBUG message
2025-10-01 09:18:32 | main | WARNING | 22 | This is a WARNING message
2025-10-01 09:18:32 | main | ERROR | 23 | This is an ERROR message
2025-10-01 09:18:32 | main | CRITICAL | 24 | This is a CRITICAL message
2025-10-01 09:18:32 | helper | DEBUG | 8 | This is a DEBUG message
2025-10-01 09:18:32 | helper | INFO | 9 | This is an INFO message
2025-10-01 09:18:32 | helper | WARNING | 10 | This is a WARNING message
2025-10-01 09:18:32 | helper | ERROR | 11 | This is an ERROR message
2025-10-01 09:18:32 | helper | CRITICAL | 12 | This is a CRITICAL message
2025-10-01 09:18:32 | helper | INFO | 13 | Helper function running
